,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,Actor,Genre,Writer
21,Dinosaur,BV,"$38,854,851",5/19/2000,Francis Lawrence,,tt1951264,11,2013,"Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair","Action, Adventure, Mystery","Simon Beaufoy (screenplay), Michael Arndt (screenplay), Suzanne Collins (novel)"
22,Daddy's Home,Par.,"$38,740,203",12/25/2015,Gareth Edwards,,tt3748528,12,2016,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","Action, Adventure, Sci-Fi","Chris Weitz (screenplay by), Tony Gilroy (screenplay by), John Knoll (story by), Gary Whitta (story by), George Lucas (based on characters created by)"
23,Get Smart,WB,"$38,683,480",6/20/2008,Gary Ross,,tt1392170,3,2012,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields","Adventure, Sci-Fi, Thriller","Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay), Suzanne Collins (novel)"
25,You Don't Mess with the Zohan,Sony,"$38,531,374",6/6/2008,J.A. Bayona,,tt4881806,6,2018,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith","Action, Adventure, Sci-Fi","Derek Connolly, Colin Trevorrow, Michael Crichton (based on characters created by)"
26,The Legend of Tarzan,WB,"$38,527,856",7/1/2016,James Wan,,tt2820852,4,2015,"Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez","Action, Crime, Thriller","Chris Morgan, Gary Scott Thompson (characters)"
27,Over the Hedge,P/DW,"$38,457,003",5/19/2006,James Gunn,,tt3896198,5,2017,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","Action, Adventure, Sci-Fi","James Gunn, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Jim Starlin (Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Steve Gerber (Howard the Duck created by), Val Mayerik (Howard the Duck created by)"
29,Alien Vs. Predator,Fox,"$38,291,056",8/13/2004,Bill Condon,,tt1673434,11,2012,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli","Adventure, Drama, Fantasy","Melissa Rosenberg (screenplay), Stephenie Meyer (novel)"
30,The Angry Birds Movie,Sony,"$38,155,177",5/20/2016,N/A,,tt2395475,11,2011,Juley Ross,Short,N/A
32,Ocean's Eleven,WB,"$38,107,822",12/7/2001,,,,6,2016,,,
33,Rango,Par.,"$38,079,323",3/4/2011,,,,8,2016,,,
34,Inglourious Basterds,Wein.,"$38,054,676",8/21/2009,,,,2,2016,,,
35,Bee Movie,P/DW,"$38,021,044",11/2/2007,,,,5,2010,,,
36,Lone Survivor,Uni.,"$37,849,910",1/10/2014,,,,5,2018,,,
37,Ace Ventura: When Nature Calls,WB,"$37,804,076",11/10/1995,,,,11,2010,,,
38,Charlie's Angels: Full Throttle,Sony,"$37,634,221",6/27/2003,,,,9,2017,,,
39,Hop,Uni.,"$37,543,710",4/1/2011,,,,11,2017,,,
40,Gone Girl,Fox,"$37,513,109",10/3/2014,,,,11,2014,,,
42,Pacific Rim,WB,"$37,285,325",7/12/2013,,,,7,2017,,,
43,Mr. Deeds,Sony,"$37,162,787",6/28/2002,,,,6,2013,,,
44,Annabelle,WB (NL),"$37,134,255",10/3/2014,,,,3,2010,,,
45,Air Force One,Sony,"$37,132,505",7/25/1997,,,,7,2015,,,
48,Red Dragon,Uni.,"$36,540,945",10/4/2002,,,,6,2010,,,
52,Marley and Me,Fox,"$36,357,586",12/25/2008,,,,7,2016,,,
53,21 Jump Street,Sony,"$36,302,612",3/16/2012,,,,4,2016,,,
54,Kingsman: The Secret Service,Fox,"$36,206,331",2/13/2015,,,,6,2017,,,
57,Ocean's Thirteen,WB,"$36,133,403",6/8/2007,,,,11,2015,,,
59,Armageddon,BV,"$36,089,972",7/1/1998,,,,6,2014,,,
60,The Scorpion King,Uni.,"$36,075,875",4/19/2002,,,,4,2017,,,
