,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,Actor,Genre,Writer,Ratings
129,Snakes on a Plane,NL,"$13,806,311",8/18/2006,David R. Ellis,,tt0417148,3,2015,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard","Action, Adventure, Crime","John Heffernan (screenplay), Sebastian Gutierrez (screenplay), David Dalessandro (story), John Heffernan (story)",0.69
132,There's Something About Mary,Fox,"$13,740,644",7/15/1998,M. Night Shyamalan,,tt0452637,11,2013,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban","Drama, Fantasy, Mystery",M. Night Shyamalan,0.25
133,A League of Their Own,Sony,"$13,739,456",7/1/1992,Penny Marshall,,tt0104694,6,2013,"Tom Hanks, Geena Davis, Lori Petty, Madonna","Comedy, Drama, Family","Kim Wilson (story), Kelly Candaele (story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)",0.77
134,The Whole Nine Yards,WB,"$13,731,070",2/18/2000,Jonathan Lynn,,tt0190138,6,2012,"Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan","Comedy, Crime",Mitchell Kapner,0.45
135,Moulin Rouge!,Fox,"$13,718,306",6/1/2001,Baz Luhrmann,,tt0203009,6,2011,"Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent","Drama, Musical, Romance","Baz Luhrmann, Craig Pearce",0.76
136,Geostorm,WB,"$13,707,376",10/20/2017,Dean Devlin,,tt1981128,5,2016,"Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara","Action, Sci-Fi, Thriller","Dean Devlin, Paul Guyot",0.14
137,The Commuter,LGF,"$13,701,452",1/12/2018,Jaume Collet-Serra,,tt1590193,5,2011,"Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks","Action, Crime, Drama","Byron Willinger (story by), Philip de Blasi (story by), Byron Willinger (screenplay by), Philip de Blasi (screenplay by), Ryan Engle (screenplay by)",0.57
138,Underworld: Blood Wars,SGem,"$13,688,751",1/6/2017,Anna Foerster,,tt3717252,8,2014,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver","Action, Adventure, Fantasy","Cory Goodman (screenplay by), Kyle Ward (story by), Cory Goodman (story by), Kevin Grevioux (based on characters created by), Len Wiseman (based on characters created by), Danny McBride (based on characters created by)",0.21
141,Good Luck Chuck,LGF,"$13,652,001",9/21/2007,Mark Helfrich,,tt0452625,7,2011,"Connor Price, Troy Gentile, Mackenzie Mowat, Sasha Pieterse","Comedy, Fantasy, Romance","Josh Stolberg (screenplay), Steve Glenn (short story)",0.05
143,Firewall,WB,"$13,635,463",2/10/2006,Richard Loncraine,,tt0408345,6,2010,"Harrison Ford, Virginia Madsen, Carly Schroeder, Jimmy Bennett","Crime, Thriller",Joe Forte,0.18
147,Resident Evil: The Final Chapter,SGem,"$13,601,682",1/27/2017,Paul W.S. Anderson,,tt2592614,5,2017,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts","Action, Horror, Sci-Fi",Paul W.S. Anderson,0.36
148,College Road Trip,BV,"$13,601,419",3/7/2008,Roger Kumble,,tt0997047,7,2010,"Martin Lawrence, Raven-Symoné, Kym Whitley, Adam LeFevre","Adventure, Comedy, Drama","Emi Mochizuki, Carrie Lee Wilson, Cinco Paul, Ken Daurio",0.12
154,Hereditary,A24,"$13,575,172",6/8/2018,Ari Aster,,tt7784604,7,2012,"Alex Wolff, Gabriel Byrne, Toni Collette, Milly Shapiro","Drama, Horror, Mystery",Ari Aster,0.89
155,Hanging Up,Sony,"$13,567,978",2/18/2000,Diane Keaton,,tt0162983,4,2010,"Meg Ryan, Diane Keaton, Lisa Kudrow, Walter Matthau","Comedy, Drama","Delia Ephron (book), Delia Ephron (screenplay), Nora Ephron (screenplay)",0.12
156,Letters to Juliet,Sum.,"$13,540,486",5/14/2010,Gary Winick,,tt0892318,3,2017,"Amanda Seyfried, Marcia DeBonis, Gael García Bernal, Giordano Formenti","Adventure, Comedy, Drama","Jose Rivera, Tim Sullivan",0.41
157,Hall Pass,WB (NL),"$13,535,374",2/25/2011,"Bobby Farrelly, Peter Farrelly",,tt0480687,6,2012,"Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate","Comedy, Romance","Pete Jones (screenplay), Peter Farrelly (screenplay), Kevin Barnett (screenplay), Bobby Farrelly (screenplay), Pete Jones (story)",0.34
159,Without a Paddle,Par.,"$13,528,946",8/20/2004,Steven Brill,,tt0364751,8,2015,"Matthew Price, Andrew Hampton, Jarred Rumbold, Carl Snell","Adventure, Comedy, Mystery","Fred Wolf (story), Harris Goldberg (story), Tom Nursall (story), Jay Leggett (screenplay), Mitch Rouse (screenplay)",0.14
163,Cop Land,Mira.,"$13,510,482",8/15/1997,James Mangold,,tt0118887,7,2016,"Sylvester Stallone, Harvey Keitel, Ray Liotta, Robert De Niro","Crime, Drama, Thriller",James Mangold,0.73
164,The Wedding Planner,Sony,"$13,510,293",1/26/2001,Adam Shankman,,tt0209475,7,2016,"Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras, Justin Chambers","Comedy, Romance","Pamela Falk, Michael Ellis","{'Source': 'Metacritic', 'Value': '33/100'}"
170,Paycheck,Par.,"$13,462,374",12/25/2003,John Woo,,tt0338337,7,2015,"Ben Affleck, Aaron Eckhart, Uma Thurman, Paul Giamatti","Action, Mystery, Sci-Fi","Philip K. Dick (short story), Dean Georgaris (screenplay)",0.27
171,That's My Boy,Sony,"$13,453,714",6/15/2012,Nora Ephron,,tt0117038,6,2014,"John Travolta, Andie MacDowell, William Hurt, Bob Hoskins","Comedy, Drama, Fantasy","Peter Dexter (story), Jim Quinlan (story), Nora Ephron (screenplay), Delia Ephron (screenplay), Peter Dexter (screenplay), Jim Quinlan (screenplay)",0.36
173,Jaws 3-D,Uni.,"$13,422,500",7/22/1983,Joe Alves,,tt0085750,11,2016,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr.","Adventure, Horror, Thriller","Peter Benchley (suggested by the novel ""Jaws""), Richard Matheson (screenplay), Carl Gottlieb (screenplay), Guerdon Trueblood (story)",0.11
174,The Man From U.N.C.L.E.,WB,"$13,421,036",8/14/2015,Guy Ritchie,,tt1638355,7,2010,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki","Action, Adventure, Comedy","Guy Ritchie (screenplay by), Lionel Wigram (screenplay by), Jeff Kleeman (story by), David C. Wilson (story by), Guy Ritchie (story by), Lionel Wigram (story by), Sam Rolfe (based on the television series created by)",0.66
175,Outbreak,WB,"$13,420,387",3/10/1995,Wolfgang Petersen,,tt0114069,7,2017,"Dustin Hoffman, Rene Russo, Morgan Freeman, Kevin Spacey","Action, Drama, Thriller","Laurence Dworet, Robert Roy Pool",0.59
176,Nights in Rodanthe,WB,"$13,418,454",9/26/2008,George C. Wolfe,,tt0956038,2,2010,"Richard Gere, Diane Lane, Christopher Meloni, Viola Davis","Drama, Romance","Ann Peacock (screenplay), John Romano (screenplay), Nicholas Sparks (novel)",0.3
